SENTENCE,label(0->Tocxic & 1 -> Non-toxic)
"bisti namle shohor vheje, bhijte parina ami, shorir bhijano bhishon shohoz, mon bhijano dami",1
ei ekta line e pura reality ghura dilo,1
"everything i have, i will give you - ei line ta shotti ekta purest form of bonding",1
"everything i have, i will give you. everything-eta ekta alada level er love!",1
ek hazar haat matir niche dhukiye debo mandirp@t,0
"ekshow persent agree, ekhon er bacchara eto beshi digital hoye geche je real life e discipline nei",1
"gora thaka ekta premium idea na, tor mentality ekta problem.",0
oo bish bochor por ashba ki,1
"choto belar ekta dead butterfly theke 2025 e ekta heart-touching letter,manush emon ekta golper moddhe thakte pare",1
2025 shaler moddhei bharot dokhol korbe is er dol.,0
5 ball kheye last ball e single newa manushgular moto kutna criminal ar ektao nei,0
50 lakh taka khoroch holeo tor mto bandir polake dekhe nebo,0
7 e march e gonohotta koreche kuttaleague!,0
"71 channel er kormochari ra Islam biddeshi kotha bole, shorkar er pa chata dalal",0
71 er age jara chatroleague er netritto diyechilo tara onekei awami rajniti korennai.,0
"71 shale amra shadhinotar jonno juddho korechilam kintu bharot korechhilo pakistan vangar jonno, etai itihasher kothin bastobota",0
71 television jemon awamileague er dalali kore temni khaled mohiuddin shoitan bnpr dalal,0
90 er doshoker shei oshalinta abar shakib khankir chobite,0
92persent muslim er desh Bangladesh e aj muslim rai kuttaleague namer kukur dara nirjatoner shikar,0
95% dhorshon er shathe awamileague er kormira prottokkho ebong porokkhovabe jorito,0
"aaj theke ruku r somoy nijossho durbolota ar ALLAH er shokti niye aro beshi monojog debo, INSHAALLAH",1
abaal chuda shangbadik r kono khobor pash na,0
abal chudar vuda tumi ekta,0
Abal jokon notun notun video kora shikhe,0
abal kothakar,0
abalchoda tui k,0
abar kothay kothay moulobad.,0
abaro ekta milestone cross! future e aro success ashuk!,1
"abaro onek kichu shikhlam, amader prottek professor shikkhar pothe anek mehonat kore. ",1
"abaro onek valo kotha shunlam, apnara shikkhar daari diye manush ke agiye jaben. ",1
accha ei 72 hure ra ki beshyabritti kore,0
accha ei 72 hurer kotha je bola hoy etobar.. era ki bessha,0
"achoda means virgin, jeta tui na",0
adalot ke dhonnobad janai,1
"aditya jodi real life e thakto, tahole to ar kono girl single thakto na",1
"aditya-geet er chemistry ekta pure magic, on-screen e aro aro movie chai eirokom!",1
"age count kore nai tar pichoneo jukti ache, 2020 to coronar dhuchani te emne emnei par hye gelo tai vodromohila 2020 unar age count kore nai",0
"age mor kuttachoda, tarpor ter pabi tor lash er sathe ki hobe",0
aha! mugdho hoye shunte thaklam! e jeno nasha,1
aha!,1
"ai golpota ekta khub shundor nostalgia er moto, ja sobar mone thakar kotha",1
ai perfect plating ta amake pagol kore dicche,1
aita je ki emotional story! maa r love er modhye ekta deep connection ache.,1
"aj thekei prottekdin bathroom e jawar shomoy tomar chobi ta dekhe dekhe jabo, sathe ekta tel er bottol o thakbe doa koiro jeno shofol hote pari",0
ajke akash ta onek shundor dekhache tai na,1
"ajke bari te biriyani ranna, khub moja lagbe ",1
ajke match hereo Bangladesh final a uthe gelo,1
"ajke raat e cricket match dekhbo, onek excited",1
"ajke ranna korte iccha hocche, inspiration pailam.",1
ajker diner sera chobi,1
ajker ei prothom alo potrikata kine rakhbo baki ta sritir modhye ononnotomo ekta hoye thakbe,1
akash vora tara tigerder hoga mara shara,0
Alhamdulillah!,1
"Alhamdulillah! ei rokomer itihash jante pari, etai boro sohag",1
"alhamdulillah, ALLAH amader ke hedayet rakhte boro daya den.",1
"alhamdulillah, bhai  jene onek khushi holam",1
"ALLAH k voy kor, borka por",0
ALLAH tor jiboner lekhapora likhe rekheche! shanti pawa tor kormor opor nirvor kore! maa baba ke dukhho dile tui shanti pabi na,0
"ALLAH tor uttar niben, ar jonogon toke rastay dhore shasti debe! ei duniya te o shanti pabi na, akherateo pabi na",0
"ALLAH'r anugroho chara kono kichu paowa somvob na, hedayet paowa shobcheye boro niyamat.",1
ALLAHr lanot poruk eishob bharoter maalaun chagol gular upor,0
amader shongbadik bhaider pagol hoye geche,1
amar baal er miss world,0
"amar bhai tomar bhai, soleman bhai soleman bhai. dhuro election to asei nai!",1
"amar jodi evabe keu bolto,lungi thungi khule jhapiye portam. ki h@t ",0
amar khub priyo gan,1
amar onotomo priyo kobitar priyo ekta line.,1
amar pasa chulkaye dibi,0
amar prio kobi salmagindronath tagore ,0
amate amike tumi name peye jabo,1
ambience ta khub bhalo!,1
ami amar moner madhuri misaye tomare korechi rochona,1
"ami amar moner madhuri misaye tomare korechi rochona-- tumi amarim, tumi amarim, momo bijonjibonbihari",1
"ami amar moner madhuri misaye tomare korechi rochona-- tumi amarim, tumi amarim, momo bijonjibonbihari!",1
ami bollam 'den',1
"ami chand, tumi tara tomar mukhta ekdom baka like a bara ",0
"ami chodna, kaj korchi ganja niye, chudle contact me ",0
"ami ekhon campus e, bondhuder sathe adda ditese ",1
"ami ektu playboy krishno type er, toder shobshomoy seje guje thaka debider moto dudh ber kore rakha ma bonder sei hot lage",0
ami jantam tumi dekhte kala hoba ,0
"ami mon bhore tomay kache abdar korbo apu, shotti boltesi! ",1
ami mone korechi toder hinduder putki marche ,0
ami saudi arab teke doa kori tamim hobe,1
ami to ekhono ammur sathe ghumai,1
"ami tor mare, bibi hawa, toder ma fatemare chude local playboy hoisi",0
amk jibanananda das er lekha kichu vlo upannas suggest korun like a starter pack..,1
amr bij tor pasar futai dhukamu magir po! ,0
amr dhon er cheye boro hobena tor ta madarchod! ,0
amr emon nengta gf chay na ,0
amrao anondito dhonnobad,1
anonder ar shima nai! chambaj shofik... ha ha ha,0
apira kemn acho tomader jonno live korchi. join hou early!,1
"apnader moddhe onek boro adorsho ache. asha kori, sobai rasti dhore agiye jabe. ",1
apnader pm o bujhte parche ki baje apnader sathe o amra indian ra korbo ...,0
apnader shadhubad janai ei mohot udjog er jonno,1
apnake dhonnobad,1
apnake montri hisabe cai,1
"apnar bouvhater shomoy o kichu dorkar. try koro jodi thik thak kotha bola jay. sathe vhabi, duti lok er moddhe trust r respect r dorkar. ",1
apnar dhorme omuslimderke hottar nirdesh diyeche apnader magikhor nobi muhammad ar ALLAH,0
apnar gan gulo prothome joto na valo lage tar cheyeo koyekbar shonar por nesha hoye jay.,1
apnar id ta ghure dekhlam. apnio ekjon gay,0
apnar kotha shunle onek kichu shikhte pari,1
apnar oita khule jacche kno aunty amder den amra chete di,0
apnar photography inspiration hote pare onk er jonno!,1
apnare to school er master banano dorkar vai,0
apne QURAN dekhsen thikmoto sekane nari dhorshon boidho,0
apni ami ar kuyashai ghera phuler desh,1
apni bastober nayok,1
apni bhai  amar ustad,1
apni eishob choto khato murkho kafir der sathe kotha blben na,0
apni great,1
apni shorkari chor guloke lathi diya khotom korun!,0
apu ek raater jonno koto tk nen,0
apu pp,1
apu tomake amar girlfriend onek like kore,1
ar dekha na hok,1
ar dorkar nai ,1
ar fire ashbe na konodin ,1
ar kichu din gelei kuri bochor hobe mone hoy,1
ar olper jonno rashid khan er pant vije jay nai-chi!,0
ar shundori meye nengta thake jate purushder darai! ,0
ar sotyer joy hoy nirebe,1
are dur ho chutmaranir put - maluner durgondhomoy opobitro birjer jaroj shontan,0
are ekhane maluner baccha ache varoter dalalder bolchi ! tora khanki pola!,0
are khankir pola tor to debi ache,0
"are madarcoach, tui ar cholbina!",0
areh hindu ra toh gorur mut khay,0
areh vai pagol e kina bole ar eta nie apnar ki ek obostha,0
argentina supporter hobar jonno etar cheye classy reason hote pare na!,1
aro ekta lash upohar dilo bsf! baah! ei hasina sorkar borabor e rmotoi chup thakbe,0
